只剩着黑狗还在【对】着桑树 嗥 ,老尼姑念着佛。
数年前,母亲指着她客厅挂历上的一幅大篆,笑【对】我 说 :“你都这么大了,字还潦草得像狗爬,都因为小时贪看闲书不好好描红。
阿Q前几回的上城,大抵早就兴高采烈的【对】人 说 ,但这一次却并不,所以也没有一个人留心到。
未庄人都用了惊惧的眼光【对】他 看 。
一诺千金看来只是一种作风,一种实在,一种牢靠,可它的内涵涉及到【对】世界是否 郑重 。
【对】人类的发展 有 潜在的好处吗?
大卫:从你小时候【对】画画儿 产生 兴趣,到仍然得了大奖,花在画画儿上的时间是多少呢?
首先,我【对】自己的汉语水平 有 了更准确的了解。
不过,如果你【对】这方面的知识一点也不 了解 的话,就很可能会闹笑话。
它是不是人家送给你而【对】你 没用 的东西(实际上有些礼物的确是这样被转送的)?
并为此了一些【对】人口增长 有 一定积极意义的法令和措施。
【对】此,我们 要 有充分的思想准备,要在客观允许的范围内,尽最大努力控制人口。
联合国科教文组织【对】此 进行 了审查并做了高度评价,还详细地记录了这一成就。
一位瑞士地震专家认为:“即使是【对】某个时期 做 地震预报,准确率也只有10%~20%。”
人们【对】此深感 疑惑 。
黄志强——江西井冈山上一个因为贫穷而不得不三次停学,常常【对】着书包 落泪 的11岁少年。
嫁之所以【对】女性显得特别 重要 ,有很大成分是受传统观念的影响。
大内:你【对】什么工作 有 兴趣?
方云天:我【对】经商 没 兴趣。
怀特先生喜欢东方文化,【对】中国历史、文学都很 有 研究。
他常【对】朋友 说 ,中国菜在世界上非常有名。
山本:可是,记得咱们一起吃鲨鱼肉的时候,你一边吃,一边【对】我 说 ……
艾米:用英语【对】彼得 说 要是他的西瓜有他的嘴那么甜,就好了!
彼得:【对】艾米 说 咱们再买两个西瓜吧。
笑着【对】金汉成 说 :“你填的表我看到了,汉字写得又工整又漂亮。”
我们相信,21世纪的中国将会【对】人类 做出 更大的贡献。
有着许多重要的发明创造,曾经【对】人类的进步 做出 过重要的贡献。
走向一个摊位,【对】卖菜的人 说 :
虽然有一种说法,认为早上6点半起床【对】身体健康最 有 好处,但不同年龄的人不一定适用一种时间表。
父亲很快接完了电话,似乎想到了什么,【对】我 说 :
爸爸要【对】你 说 :你永远是爸爸惟一的女儿。”
事后,孔子【对】学生们 说 ,学问没有顶点,学习也没有止境,永远不能停止;
陈国的国王想考考他,便拿出一颗九曲明珠,【对】孔子 说 :“听说你很有学问,自然也很聪明。
现在那些家伙就有理由【对】我们 说 了:‘怎么?
我听见韩麦尔先生【对】我 说 :“我也不责备你,小弗郎士,你自己一定够难受的了。
我正在诧异,只听韩麦尔先生又柔和又严肃地【对】我们 说 :“我的孩子们,这是我最后一次给你们上法语课了。
然后又【对】狼 说 :“我要看看你是怎么被装进去的。”
忽然,后面跑来一只狼,慌慌张张地【对】东郭先生 说 :“好心的先生,救救我吧!
这时候,老人【对】东郭先生 说 :“好危险啊!
关于她,我有很多要【对】您 说 的,今天就写到这儿吧。
A:你知道我【对】画儿完全 是 门外汉,什么也看不懂。
按照王华这个电脑迷的解释,是科技而不是什么“主义”【对】社会的繁荣 起 了作用。
我【对】中国的将来是很 乐观 的。
Gao:我来这儿六个多月了,不但中文进步了不少,而且【对】这儿的社会、文化也 有 了更深的了解。
这一年来你虽然在留学,可是还找时间告诉我们你在中国的感想,让我们【对】自己的文化 有 了新的认识。
为了【对】中国历史 有 更多的了解,她请李文带她去中国国家博物馆参观。
孔子是中国历史上最伟大的教育家和思想家,到现在【对】中国教育还 有 很大的影响。
丽莎:我在历史课上学到,秦始皇【对】统一中国 有 很大的贡献。
一位邻居【对】我 说 :“你看那卖羊肉串儿的人多缺德,他把竹签儿捡回去,也不知道洗不洗,明天照样用它来穿让肉串儿。”
乙:【对】老夫少妻的婚姻我常常 怀疑 夫妻之间是不是真的有爱情。
甲:你这样说,【对】女人是不 公平 的。
那个男的虽然年纪大一点儿,但是学问好,收入高,【对】妻子又 体贴 。
四人帮”竟号召【对】相对论 一窍不通 的人来批判爱因斯坦,成为千古笑谈。
他【对】国民党并不 满意 ,他也向往延安。
但是,如果他能再活上若干年,【对】我国的学术界,对我自己,不是更 有 好处吗?
他【对】中外文学都 有 精湛的研究,这是学术界公认的。
这消息【对】我并不 突然 ,因为毕竟是快九十岁的人了,而且近几年来,身体一直不好。
【对】那些古里古怪的理论,他确实能 讲出 一个道道来,我听起来津津有味。
桑原七段在上海的头一场败给淞笙,这【对】他显然 是 个刺激。
我只感到一种说不出的愤怒,也不知是【对】谁 发怒 ,
对手即使形势领先,也会感到迷惑,甚至会【对】自己的优势局面 感到 怀疑。
我更忘不了陈老总惋惜地【对】我 说 :“今天本来请周总理来的,不巧总理有事不能来了。”
他盯着棋盘凝视许久,此时他恐怕【对】我真正 重视 了。
这次我将迎战杉内九段,不少人【对】我 寄予 了希望,但恐怕更多的人认为我是凶多吉少。
其次是儿童问题,我【对】它也很 关心 。
后来她不哭了,【对】父亲 说 ,
天地萌生万物,【对】包括人在内的动植物等有生命的东西,总是 赋予 一种极其惊人的求生存的力量和极其惊人的扩展蔓延的力量,
其实,那一段时间,我如一些浅薄的人一样,【对】贝多芬 所知甚少 。
我曾经读过一个让我感动的故事:一个现在已成大款的人,却【对】一块糖很 有 感情。
过了好一会儿,他才开过来,【对】我 说 :“你的包忘拿了。”
住在林老师家里,她像【对】自己的女儿一样精心 照顾 我,送吃送喝,直到我伤好能自由活动。
刘西西就拉着我的手兴奋地【对】我 说 :“我真高兴!
我就【对】他 讲起 球迷们的种种迷劲。
虽然我不太满意,但也不由得生出羡慕,因为我从来没有【对】什么事这么 投入 过。
所以,对困境先要【对】它 说 “是”,接纳它,然后试试跟它周旋,输了也是赢。
我敬重我的病有一回,有个记者问我:你【对】你的病 是 什么态度?
一位编辑小姐要我写下一句【对】我 有 启迪的话。
她说朋友的身体比较弱,经常睡不着觉,希望这种营养品能【对】她的身体 有 好处。
尽最大的努力,【对】弊害 加以 抑制,决不能只是高喊“发展!
【对】大自然 穷追猛打 ,从表面上来看,在一段时间内可能是成功的,
便【对】管理员 说 ,老虎是森林之王,
19世纪末,以康有为、梁启超为代表的先进知识分子,【对】封建家庭婚姻制度 进行 了严厉的批判,
被告律师还【对】被告刊登启事的背景 作 了介绍。
应该懂得法律上【对】拾得物品如何 处理 的规定,
金汉成:这句话是【对】老人 说 的。
王欢的妻子【对】公公、婆婆是很 尊敬 的。
他不禁想起父亲【对】他 说 的话:“为人,要真诚;
袁隆平曾【对】采访者 说 过,六十年代初,他发现了一棵长得非常粗壮的水稻秧苗,但当时他并不知道这是一棵野生杂交水稻。
【对】这样的坏东西,好心是没 有用 的。
现在,我已经把这套书读完了,【对】中国五千年悠久的历史 有 了初步的了解。
【对】这些东西,我听起来 似懂非懂 。
一天晚上,老人又把三个儿子叫到面前,【对】他们 说 :“今年打下粮食比去年多得多,这是你们出力气挖地换来的。
一天晚上,老人把三个儿子叫到面前,【对】他们 说 :“孩子们,我已经老了,你们以后总得自己养活自己啊!
这时,表妹一手拿着望远镜,一手指着前边,【对】我 说 :“你看见没有?
美英【对】爱情 有 什么看法?
不是我【对】那个高德中 有 什么特别的歧视,而是洋人跟我们在文化背景和生活习惯上的距离太大,将来你们可能会离婚的。
我不明白您为什么不能接受“美国人”,为什么【对】他们 有 偏见?
宗教是为人服务的,所以无论什么教,只要【对】人 有 利,大家就能接受。
A:你【对】中文 有 兴趣,可是我怕以后找工作不容易。
柯林:你刚来,在学校住【对】你 有 好处,可以适应一下学校的生活。
一个陷入情网的姑娘【对】着他的爱人 说 “衰鬼,讨厌”,实际上并不是詈骂,而是昵称和打情骂俏的爱恋语言。
提到人们【对】各种东西单位 称谓 的千差万别,
阁下”或者自称什么“你的诚实的朋友”什么什么的,实际可能【对】对方本来并没 有 丝毫尊敬和诚实。
一个优秀的作家,应该是能够【对】各种各样的词儿的精确含义,都 有 高度的敏感才对。
我其实【对】中国的情况也不 了解 ,更不比你们了解得多。
一边儿【对】赵平 说 :“孩子!
这些关节和肌肉,又和大脑神经有联系,使用筷子【对】大脑也 是 一种很好的锻炼。
齐元看出了她的心事,诚恳地【对】她 说 :“放心吧,秀梅,我走到哪里也不会变心的!”
你的将来【对】中国音乐的前途 有 那么重大的关系,
你每走一步,无形中都【对】整个民族艺术的发展 有 影响,所以你更应当战战兢兢,郑重将事!
我在第八信中还【对】你 预告 ,这种精神消沉的情形,以后还是会有的。
倘若你认为这些话是对的,【对】你 有 些启发作用,那末将来在遇到因回忆而痛苦的时候(那一定免不了会再来的),拿出这封信来重读几遍。
尤其是近三年来,你不知使我【对】人生多 增 了几许深刻的体验,我从与你相处的过程中学得了忍耐,学到了说话的技巧,学到了把感情升华!
但愿你这次给我的教育(就是说从和你相处而反映出我的缺点)能【对】我今后 发生 作用,把我自己继续改造。
于是,我【对】他 说 了昨夜一剂麻黄汤把个老同学的父亲重病治愈的豪杰之事。“
路上,先生【对】我 说 :“明早来一趟,你来吧。
【对】任何人 说话 都不应该大模大样,也不需要低三下四。
【对】长者、老者、老师、长辈说话, 缺少 应有的尊敬的表示;
如果你【对】孩子们 讲 一件事,用了一些抽象的、比较难懂的字眼,
【对】长者、老者,总 要 多一点尊敬的神态吧,
【对】年轻人或者比自己小得多的人,总 要 多一点关切爱抚的神态吧,这就是得体的问题。
我设想这么一条路:从学术角度说,要【对】汉语语音、语汇、语法分别 作 深入细致的研究;
无论【对】长者、老者说话,对年轻人或者比自己小得多的人 说话 ,都需要诚实、亲切。
【对】你的家里人和熟悉的同事,很 严肃 ,像煞有介事,或者向领导汇报,嘻嘻哈哈,“谈笑风生”,都不得体。
同样的一件事,【对】家里的人随便 说 说,向熟悉的同事介绍介绍,
相反,如果你是【对】一些理解能力比较强的青年人、成年人 说 同一件事,几句话就可以说得清楚,
好多年过去了,等到自己有了孩子以后,才算真正明白了母亲的心,才开始由衷地【对】母亲 恭敬 起来。
母亲平时并不太和我说话,也不会【对】我 有 什么特别亲密的动作。
“既然奖学金【对】你那么 重要 ,你又明明知道阿加尔教授对学生要求非常严格,为什么还要跟他争论呢?”
当着众人【对】她 说 :“你看,我的孩子,你跟我争论了两个小时,我还是决定要录取你。
我们谁也没说服谁,护士们【对】此也 有 不少议论大家陆陆续续地去投票了,该下决心了。
那天下班后,她一本正经地【对】我 说 :“本来那二百元体现的是按劳分配,你呢,还是弄成了‘大锅饭’。”
别看这都是小事,可大家都很喜欢我,信任我,说我人缘儿好,有什么心里话也愿意【对】我 说 。
譬如,左撇子运动员一度【对】右手使用的运动器械颇 感 不便,现在他们可以买到适用于他们的运动器械了。
不过,总的来说,人们【对】左撇子在日常生活中所遇到的问题还是很少 关注 的。
在亚历山大大帝统治的年代,人们的看法开始变得【对】左撇子 有利 了。
我特地将半打练习簿缝在一起,预期一本洋洋大作,然而不久我就【对】这伟大的题材 失去 了兴趣。
像我这样经风多多的人,【对】妙龄人 提出 些警惕恶风的忠告,是一种关爱,也算是一种责任吧。
几年前,有人【对】九大城市人们的生活费用 进行 了调查。
如果乌鸦【对】着你 叫 了一声“哇”,你是不是就认为撞到了晦气?
母亲心疼地【对】女儿 说 :“我反正就要死了,还是你自己喝吧。”
回来以后,他【对】我 谈起 了这次去美国的经历和他的切身体会。
他【对】自己的研究很 自信 ,在会议上所做的学术报告也相当成功,最初几天过得很愉快。
【对】恶势力决不 低头 ,坚持斗争,百折不挠,直到胜利。
然后又【对】歌曲 进行 了改编,重新配写了歌词。
不过,许多人都【对】歌词中“领着你的妹妹,带着你的嫁妆,赶着马车来” 表示 不理解。
多少年来,藏族兄弟【对】这座古碑 感激 、崇敬,用藏族特有的方式来表达他们的感情。
当然,空气稀薄、高山反应【对】每一个初访者都 是 一个考验。
妻子原是他的一个学生,【对】他非常 崇拜 。
王欢:【对】妻子 说 我回来了。
方云天:【对】山本 说 来瓶白酒,怎么样?
这个时髦的小姐掏出一个时髦的钱包,【对】司机 说 :“钱,我有的是。
一定是万书记【对】我平里在下面大吃大喝 有 意见,用这酒提醒我做人要像水一样清白。
于副主任也很聪明,他马上想到万书记一定【对】他的工作不 满意 ,认为他成绩平平,跟无味的水一样。
老人决定【对】儿子和儿媳妇儿 进行 一次测试。
但是背地里儿媳妇【对】儿子 说 :“咱们的收入不多,哪儿能养活一个白吃饭的?”
一天,老人来到大儿子家,非常抱歉地【对】儿子、儿媳妇 说 :
裁判员身穿黑色运动衣,不停地跟着运动员来回跑动,【对】双方的得分和犯规动作 做出 准确的判断。
上学前,你可以在网上【对】将要学习的课文 进行 预习;
托尔斯泰作为一个伟大的作家,【对】农奴 有 着深厚的感情。
托尔斯泰非常苦闷,【对】不劳而获的贵族生活已经十分 厌倦 了。
满脸堆笑地【对】他 说 :“梅先生演技高超,我实在佩服。
有许多灰尘【对】人类的生活是 有 危害的。
灰尘里面还夹杂着病菌和病毒,【对】我们的健康 造成 极大的威胁。
妈妈【对】我 说 :“爸爸到外地去了,要过几个星期才能回来。
爸爸四月二十八日我看了留言条,【对】妈妈 说 :“我会听爸爸的话。
过了一会儿,校长走上主席台,【对】大家 说 :“同学们,家长们,你们好!”
A:听说她以前【对】他很 有 好感,现在怎么样?
他【对】你 满意 吗?
1.小高【对】自己在台北住的条件 满意 吗?
3.在小李看来,美国人【对】食物、能源的用法 有 什么问题?
你没有什么工作经验,先找个地方实习一下,【对】将来找工作肯定 有 好处。
但是我【对】金融没 有 兴趣,整天跟数字打交道,多没意思。
妈妈【对】他 说 :“小明,你把这袋垃圾丢到垃圾桶里。”
他爸爸、妈妈一直【对】张老师 说 ,他们家一切都很简单,希望张老师住得习惯。
他【对】集体举行结婚典礼也很 赞成 ,说这办法又排场,又省钱。
我觉得【对】她们热情的工作应当 支持 。
两家的大人【对】这门亲事也很 满意 。
【对】群众 进行 对比教育?
【对】着荷花淀 吆喝 :“出来吧,你们!”
小队长回头【对】水生 说 :“都是你村的?”
我们【对】他 关心 得不够,请多多原谅!
所以“中西医结合”,世界上许多国家都【对】它 有 兴趣。
儿媳妇【对】小孙子 说 :“要什么彩电,先给叔叔办婚事,等过些日子再买吧。”“
【对】这个,刘志的爱人也是 通情达理 的。
爱泼斯坦数十年如一日地追求真理,【对】中国人民 充满 深厚的情谊。
而美育,我以为,【对】孩子们的健康成长是非常 重要 的。
孩子们【对】跑出去画画 快活无比 。
那些老师们中,【对】我更 有 吸引力的是孙谓宜、徐世荣两位先生。
我不知道美术界里【对】他是怎样 评价 ,我只觉得他曾是一位默默的播种者,他曾在孩子们的心里播下过美的种子。
他们【对】什么都 好奇 ,见什么都想学,难免今天这样,明天那样。
一个“汉学”,一个“法语”,再加上是个夜校,这【对】我简直 是 个天赐的机缘。
他【对】我 说 :“你知道吗?
朱峰不睬他,两只长胳膊抱在胸前,一本正经地【对】我 说 :“我最最佩服巴金。
可能是因为【对】有些社会文化背景不太 了解 ,他说的是这个意思,我常常听成另外的意思。
说完【对】小女孩 笑 了笑。
可是车窗边上坐着的是两位老人,怎么好意思【对】人家 说 呢。
我【对】他 说 :“我不要,你到别处去卖吧。”
他看了看石头,【对】我 说 了句“你等一下”,便跑走了。
于是拿出一枝随身带的圆珠笔【对】他 说 :“阿姨不要你的石头了,这枝笔送给你写字,好吗?”
胡同游”之所以能【对】外国旅游者 有 这么大的吸引力,
【对】胡同中老人的生活情况好奇地 发问 ;
这不仅非常适合我,而且我也能胜任,同事们【对】我也非常 友好 ,非常关心,使我对人生又充满了信心。
说心里话,我【对】人性是有些 失望 的,尤其在工作上受到歧视时,
这【对】我真 是 个沉重的打击。
【对】这个重大问题,他们也已经 取得 了某些突破。
如果珊珊不跟它玩,它就闭上眼睛卧着,以示【对】人是 安全 的。
女儿跑进门高兴地【对】我 说 :“妈妈,快去看我的狗!”
陡然觉得父亲带给我的光明黯淡了,我心里只【对】那个人 说 :“没有你呀,我就是黑暗。”
一个男孩【对】大家 说 :“我家有一个玩具火车,像一间房子那样大。”
我平静地【对】大家 说 :“他先把房子一样大的火车带来给大家看了,我就把家里操场一样大的火车带来。”
秦始皇统一中国以后,将全国的文字和货币统一了起来,【对】不同地区的交流和发展 起到 了促进作用。
21世纪的人们当然应该【对】它 充满 感激。
像一个人临终前要【对】自己的财产 进行 清点以便留给后人一样,
我【对】朋友的说法很 不以为然 ,于是开始让很多人也来做这个游戏。
一天,和一个朋友聊天,他神秘地【对】我 说 :“做一个心理小测验如何?”“
困难的时刻,不能光考虑别人【对】我们 有 没有用,要想想别人是否也需要我们的帮助。
在面临紧张的情况或严重的困难时,可以【对】自己 说 :“这没有什么了不起,我一定能完成得很好。”“
曾有个北方朋友【对】我 大骂 上海“小男人”,只是因为他们时常提着小菜篮子去农贸市场买菜,居然还要还价。
于是,不久单位里【对】他便 有 了极高的评价“勤快、能干”等等。
他们的理由是:这家公司的工作作风如此马虎,进入这家公司【对】儿子的成长 毫无 好处。
【对】这种主张,反对者现在远远 超过 支持者。
它们会骗人,会扔石头,会有计划地去捕杀别的动物,会【对】弱小的同类 进行 恐怖统治,还会对其他同类进行战争。
正是这种优越感,使人类【对】动物越来越 缺少 同情心。
在人类诞生之前和人类【对】自然 影响 还不显著的时代,
电话进入家庭更【对】下一代 产生 了重要影响,
毕业后,我到了江苏,她到了湖南,她常常给我来信,【对】我十分 关心 。
就【对】哥哥 说 :“这是假冒产品,不是原声磁带,是复制的。”
这位老人退酒时【对】售货员 说 :“以后我买什么都到你们商场来买。”
现在还有一点儿时间,同学们【对】我的课 有 什么要求和建议请提一提。
安娜:那你【对】长城一定很 熟悉 了。
他一直认为父母特别是继母【对】他很少 关爱 ,心情一直不好,学习成绩也不理想,高中一毕业,他就报名参军了。
然而,耽误的时间是没有奖学金的,而且推迟毕业,【对】志强留校也 有 很大的影响。
更是俄罗斯人精神上的“大地之母”为了【对】伏尔加河 有 更深的了解,
乌鸦看见小河总是这样活跃,这样匆忙,觉得很奇怪,就【对】小河 说 :“嘿,别高兴!
Gao:嗯,我【对】医没 有 兴趣。
还谈什么兴趣,更别说要【对】社会 有 什么贡献了。
Wang:我【对】文学 有 兴趣啊!
Wang:可是我【对】电脑 没 兴趣啊!
.小高【对】台北 有 什么印象?
随着人民经济水平和【对】生活质量 要求 的提高,自售机也应该成为人民接受并爱护的一项公物,
大部分杭州市民【对】种销售方式已经 有 科学认识并持欢迎态度。
那你【对】什么 有 兴趣?
我【对】音乐都 没 兴趣。
不去,我【对】摇滚乐 没 兴趣。
【对】摇滚乐 没 兴趣!
掌柜仍然同平常一样,笑着【对】他 说 ,“孔乙己,你又偷了东西了!”
他不回答,【对】柜里 说 ,“温两碗酒,要一碟茴香豆。”
他【对】人 说话 ,总是满口之乎者也,教人半懂不懂的。
并且【对】在建站过程中给予支持和合作的友好国家 表示 感谢。
刚进门,便【对】老栓 嚷道 :“吃了么?
康大叔瞥了小栓一眼,仍然回过脸,【对】众人 说 ,“夏三爷真是乖角儿,要是他不先告官,连他满门抄斩。
便忍不住立起身,跨过小路,低声【对】他 说 ,“你这位老奶奶不要伤心了,——我们还是回去罢。”
一九八八年七月五日先生练完养生拳之后,【对】我 说 :“从今天开始,你要为我抄正另一本资料了,这是我行医五十五年最宝贵的东西,我觉得是时候了,该抄正公布于同业之中了。”
先生的老伴,历来不参与任何事务,但【对】儿子的议论呢,老人家却破例 道出 了八个字:“殊途同归,万法归一。”
我体会到呢,只有先生才是真正【对】我 负 责任,当然有些人可能医道不够,有心而无力,先生一片诚心可敬可敬。”
一九八一年一月十五日先生【对】儿子还 是 一片舐犊之情。
他的儿子用磕磕巴巴的汉语【对】先生 讲 ,“您能救治他吗,先生?”
真正【对】人家 负责 就要拿出适合于他、只适应于他的方子来!
开了药,我【对】公子 说 :“这病由于先生头三剂打了底,按这方再吃五副差不多了。”
老师常【对】我们 说 ,要多听、多说、多练习。
逛公园昨天晚上我【对】罗兰 说 ,听说我们学校西边有个公园,那个公园很大。
我【对】罗兰 说 ,学校离这个公园不太远,可以经常骑车到这儿来玩儿。
新娘和新郎都穿着漂亮的衣服,笑着【对】我们 说 “欢迎、欢迎”。
你们看,是不是手里拿着麦克风,【对】着摄像机 讲话 的那位?
我【对】司机 说 :“你应该马上把她们送到医院去。”
一个同学【对】我 说 :“看,你的手在动呢。”
外公还像一个老教授一样地【对】我 说 :“世上无难事,只怕有心人”。
所以,父母【对】我很 满意 。
他【对】同学们 说 :“我们一定要完成马霞未能完成的心愿,走到哪里就要把绿色的种子插到哪里。”
一个学生代表向马霞献上了鲜花,他用英语【对】马霞 说 :“您把自己的一切都献给了自然保护事业,我们的心将永远与您同在!”
慈儿转过头来【对】我 微笑 ,她说:“妈妈,我睡不着,黑黑好像知道,就站在房门口咪咪地叫。
红红从小就非常热情天真,【对】主人总是 充满 了信心,无论玩什么游戏,都全力以赴。
他气哼哼地从邮局回来了,【对】我 说 :“排了半天的队,还挨了一顿训。
我本人【对】克隆人 持 反对的立场,其理由如下—通过克隆的方式来繁殖人是不自然的、反自然的。
尽管科学界旋即又【对】多利实验的可靠性 提出 了有力的质疑,
一个朋友【对】我 说 过一句话,给我留下了深刻的印象。
安全的环境【对】这种人很 重要 ,例如很多难民最喜欢的就是棕色。
最喜欢蓝色的人总是能控制自己的生活,而且【对】一切都很 满意 。
爸,您为什么【对】我仍然不 放心 ?
在中国,喜鹊被认为是【对】爱情 忠诚 、能带来喜事的吉祥之鸟,由它搭起这座浪漫的爱情之桥,真是再恰当不过的了。
凶恶的士兵就【对】他们 又踢又打 。
老人【对】她 说 :“我是黄河河神,好姑娘,放心朝前走吧,你会得到帮助的。”
一个士兵【对】万喜良 说 :“万喜良,你的手艺是本地最好的,县长大人要你到北方去,给皇上修万里长城。
山神温和地【对】孟姜女 说 :“好姑娘,你丈夫的身体就埋在这段城墙下面,快带着你丈夫的遗骨回家乡去吧,路上多保重。”
北京有一个医学组织【对】一组百岁老人 进行 调查,发现这些老人都有一个共同之处:乐观、和气、善良。
香烟中含有【对】人体健康 危害 巨大的尼古丁,常年吸烟会引起多种疾病,害处很大。
它【对】化肥、农药的使用及土地、水源、环境都 有 严格的要求,各项卫生标准也有详细的规定。
别说农场,即使是化肥,如果人们长期食用,【对】健康也 有 影响。
老板【对】他很 好 ,给他开了两个月的工资,劝他无论如何要把毒瘾戒掉。
山本:用日语【对】大内 说 他怎么就会说“不知道”?
这儿的老师、同学【对】我都很 关心 ,我也很喜欢他们。
金汉成:我喝的茶【对】健康 有 好处。
大内:一个朋友【对】我 说 ,虎跑泉的水是上等矿泉水,硬币能浮在水面上不下沉。
他【对】校长 说 :“钱不多,就算是我这个炎黄子孙对母校的一点儿心意吧。”
他嘱咐方龙,孩子留学生在这里,【对】他们一定严格 要求 ,
杰克:我【对】北京的交通一点儿也不 清楚 ,你能给我介绍一下吗?
看到他【对】我 微笑 ,看到他那关心的眼睛,我一定还会非常迷恋。
【对】像你这样献身国家、家里又有困难的人,我不应该 这样 做。
林肯【对】他厉声 斥责 道:“你不知道现在是什么时期吗?
大官只好把马良放出来,【对】他 说 :“好马良,你给我画幅画儿吧!”
你父亲【对】我好象很 满意 ,不过他需要的是一个能搞翻译的人。
小高【对】儿童英语补习班的工作 满意 吗?
王华好像【对】京剧也 有 研究。
乙:我【对】这两个地方 印象 特别深倒不是因为建筑古老,而是因为我不懂为什么中国人两千年来要把自己围在城墙里头。
抽烟【对】身体 有 害,一上瘾就麻烦了。
可是她随即又眉开眼笑地【对】老伴 说道 :“拿过酒壶来,我再给你倒一壶。”
过了一阵,老牛筋又开腔了,他【对】我 说 :“有话就直截了当说吧。
后来我还是老老实实地【对】他 说 :“这饭实在不好吃,不过我能吃下去。”
坐着汽车,醉醺醺,只【对】你 说 胡话的那位是谁呀?(
冲妈,我认为您这句话【对】她 用 是不合适的。
萍(忧郁地)哼,我自己【对】自己都 恨 不够,我还配说厌恶别人?--(
这次,她自己要【对】你妈 说 ,叫她带着你卷铺盖,滚蛋!
这位2000多年前的老先生创立了儒教,【对】中国和亚洲东部的国家 产生 了深远的影响。
记者:【对】这儿的生活 习惯 了吧?
练气功【对】身体很 有 好处。
可是他们已经把车发动起来,【对】我 招 招手说:“没准儿以后我们还会见面呢,回头再说吧。”
她【对】我 说 :“老师,当初我为竞选班长曾三次登台,第一次一句话都没敢说,第二次脸红心跳,第三次我得到了最热烈的掌声。
他【对】我 说 :“对你,我们是比较满意的,这是最后一关了。
他对我说:“【对】你,我们是比较 满意 的,这是最后一关了。
到试讲的前一天.我已【对】自己 有 了几分信心。
突然间,我觉得有好多好多的话要【对】他们 说 ,有好多好多的故事要讲给他们听。
结婚十几年,【对】妻子以前的行为我从没有 产生 过任何怀疑,
不知不觉中我【对】他 产生 了好感。
众兄弟间,他比较稚钝,孜孜读书的时候,【对】什么都没个 计较 ,
那天午饭时,钟书的姆妈听见他父亲【对】他母亲 称赞 那篇文章,快活得按捺不住,立即去通风报信,
当着他伯母【对】他 说 :“阿大啊,爹爹称赞你呢!
信写得非常有趣,【对】老师、同学都 有 生动的描写。
他又【对】女儿 说 ,《围城》里有个丑孩子,就是她。
最主要的是,周围都是留学生,【对】练习汉语 没 好处。
哲学家去找那个姑娘,【对】她的父亲 说 :“您的女儿呢?
孙中山先生【对】中国社会的政治、经济、文化教育和人民生活的发展变化都 有 很多积极影响。
为了减肥而吃得特别少【对】身体显然也没 有 好处。
当某些国家声明【对】同一条江河、湖泊或者蓄水层 拥有 主权时,便可能因争水而引起政治上的紧张形势。
他认为排行【对】人的性格形成和发展 有 着深远的影响。
现代心理学从不同方面、不同层次,【对】这一问题 进行 了深入细致的研究。
美国麻省理工学院学者弗兰克花费了26年的时间,【对】6566位历史人物的生活和排行 进行 研究后得出结论:
他们【对】生活中的事情比较 敏感 ,善于理解人,做事谨慎,不会做一些很冒险或者是很刺激的活动。
而且父母【对】最小的儿女往往 给予 更多的自由,很少限制和干涉。
【对】针灸,西方人 是 “既承认它的效果,又希望找到中医以外的解释”。
英国针灸委员会【对】针灸在英国的推广普及很 有 信心。
如今随着交流和认识的加深,他们开始相信中医【对】疾病具 有 良好的治疗效果。
当中国人忙于学习西方的治疗手段时,西方人也在加速研究中医【对】一些疾病的 治疗 方法。
【对】此,西方人 有 惊喜,有担心,也有疑惑。
我对同事们说,平时我们相处,可以很随便,但【对】工作,尤其是在操作程序及工作纪事方面决不允许 随随便便 。
这是一位美国妈妈的爱心,杨华【对】那些工艺品十分 喜欢 。
当时,人们【对】很多事物还不 了解 ,
【对】各种声音反应十分 灵敏 ,因此他母亲给他改名为“聂耳”,
大夫、护士【对】我挺 关心 。
【对】东方宾馆的朋友们在心里 说 一声“谢谢”。
倒是东城一家药店的老售货员【对】他很 热情 :“前几天东郊新开了一家大药店,离东郊机场不太远,你去那儿问问。”
肉食产业的发展关系到大量资源的使用、大量的动物粪便的产生,【对】环境 造成 严重的污染。
他面带微笑,走上讲台,在黑板上写下了“赵龙”两个字,然后【对】大家 说 :“我叫赵龙。
老师走上讲台,【对】我们 说 :“同学们,我们班三分之一的同学是新同学。
妈妈一边给他挑手上的刺,一边【对】他 说 :“玫瑰花是好看,不过有刺。
说着,她举起手杖,【对】着灰姑娘一 指 ,
于是,狼就【对】着小羊大 喊 起来;“
岳飞一回到家【对】妈妈 说 :“妈妈,快来看,我有纸和笔了!
A:你【对】中国文学 有 研究吗?
你一定是【对】什么 过敏 了。
这种不劳而获的谋生方式更会【对】孩子的人格 产生 非常不好的影响。
行人【对】这些小孩儿的行为 怎么看 呢?
曾在西单过街天桥被“围攻”过的一对青年那女笑着【对】记者 说 :
乙:过去几年,【对】我们日常生活 影响 最大的除了电子邮件以外,就是互联网。
